Batch size,Momentum,decay,Learning rate,Epochs,Neurons,Sequence size,Loss,elapsed_sec
8,0.998848446841937,6.1587540045897E-06,0.0005440360402,317,73,30,-9.63779642798698E-05,5334.87966346741
5,0.992617954634248,6.73742950245514E-06,0.000646696573991,916,16,28,-9.69546001939033E-05,20859.5655784607
5,0.993178237252706,5.92787309806986E-06,0.000277306391091,867,70,30,-0.000101506747762,16042.3515865803
5,0.991114320848073,9.6664644372244E-06,0.000673133742034,927,83,23,-0.000107648133723,20859.5735390186
9,0.998835934149961,3.86340748107155E-06,0.000365383621995,264,65,19,-0.000131857176257,4490.51762127876
5,0.992387656135646,9.81758621361749E-06,0.00110492658064,979,79,30,-0.00015309397901,17101.3266551495
7,0.998957779430328,2.49109028411625E-06,0.000735907089111,1000,25,17,-0.000179950242606,6719.82441592217
5,0.99208105447181,1.94693128488657E-06,0.00031027649611,909,90,19,-0.000184124843827,20859.6854636669
6,0.991307635518204,2.25820572781755E-06,0.000116523851931,828,57,25,-0.000208492974901,17142.9193527699
6,0.992165177673214,9.23851454748619E-06,0.001794058231153,907,40,26,-0.000244218234079,21394.0094778538
18,0.998447388892825,6.10716129765626E-06,0.000894956107163,649,12,5,-0.000297008726524,414.69239449501
7,0.998656609725641,7.64625983670109E-06,0.000645880729224,995,13,28,-0.000300271866245,8102.05557322502
7,0.998985590735393,9.25444093270084E-06,0.001745569829212,791,29,21,-0.000304780925829,5982.50735974312
5,0.991249088107924,8.93839566899241E-06,0.001720995703094,855,30,27,-0.00032806936283,16382.7211065292
6,0.99893632124405,9.46824515012639E-06,0.002135290769499,603,32,22,-0.000336439529661,6559.02730083466
6,0.9989264855588,1.1889793154792E-06,0.00027264709604,989,10,29,-0.000362099262871,6272.2912979126
6,0.998189658821801,1.87205994512025E-06,0.001798850110268,796,15,25,-0.000371940263845,7730.8935508728
5,0.992439787286669,8.22976495117543E-06,0.003152166881607,916,65,25,-0.000388383695997,19402.575262785
5,0.99825895025948,9.85951219006325E-06,0.002256959769013,535,80,23,-0.000404465795758,5686.26718807221
5,0.991571429498225,8.8786723522751E-06,0.00339082002427,967,16,26,-0.000407165135139,16260.4486012459
5,0.998211346020118,6.37364347759063E-06,0.001172107410453,555,20,29,-0.000411391353531,7772.96377325058
5,0.99813186706933,5.69078770664121E-06,0.002622650651611,675,16,24,-0.000411658054137,7149.08418798447
11,0.998918683342922,3.63107257998445E-06,0.001267088359905,695,21,20,-0.000422065418771,4490.28659033775
5,0.998875186695441,8.64650997092897E-06,0.001132700963347,773,20,28,-0.000444639875739,9006.99073171616
6,0.998319563935057,6.11195973058962E-06,0.002103804410219,876,70,26,-0.000472544186313,9123.81592822075
25,0.998898427353571,7.75506257281683E-06,0.00071767445592,918,11,25,-0.000481037331678,4490.31525230408
6,0.992404790545201,8.00463940321224E-06,0.004023252961181,966,60,27,-0.000500645361249,20584.0140624046
7,0.9951012729568,1.46212661186966E-06,0.003466122342914,971,93,29,-0.000529813853415,12826.1419048309
5,0.99104451301813,9.5637955465652E-06,0.001170413829106,963,100,23,-0.000531587343798,13205.2153186798
6,0.99818078497518,4.56073663806237E-06,0.004477217168183,926,14,27,-0.000551269821912,8322.58063721657
6,0.992096382273396,6.68096649532364E-06,0.000633341965737,942,22,20,-0.000559873291058,18078.36835289
5,0.998741380809423,2.18806848999518E-06,0.002306851654881,676,53,27,-0.000574847550021,8153.45089507103
6,0.998885040346526,2.99093828945186E-06,0.003903331273048,718,24,23,-0.000575753900615,5614.33596897125
5,0.99179708843206,4.58455546370713E-06,0.004723007184713,914,50,19,-0.000591730131722,19402.6909735203
12,0.998120762772919,5.67701276974968E-06,0.00455319394977,675,50,19,-0.00061401273706,4777.86743354797
6,0.992447153276283,4.8134137132123E-06,0.004125258716184,960,16,9,-0.000619959868122,19313.6442277432
6,0.991842394555311,9.89221879214632E-06,0.004564387069502,890,58,23,-0.000643294266621,15244.2961583138
5,0.991573629249911,2.30110676427644E-06,0.00326919288836,958,14,19,-0.000671330677505,20120.7291531563
5,0.991987891316006,8.06324021876439E-06,0.002011985190079,978,9,17,-0.000682564508082,18323.3315806389
5,0.99899474181053,6.34935877589264E-06,0.0043644243997,821,29,27,-0.000698131264529,8890.34642720223
5,0.990905691228449,7.93486959517599E-06,0.00539330409013,909,23,15,-0.00073363436368,18614.7765045166
7,0.998970219260162,3.3433225217581E-06,0.005395857542222,735,99,30,-0.000789938951462,7240.65639400482
6,0.99114313174367,8.77324566340977E-06,0.002196489599643,917,70,28,-0.000799180932283,21025.0037214756
6,0.991804405641086,4.30905329332276E-06,0.004013424863556,858,10,25,-0.00085504492559,17683.0512168407
27,0.997790593634726,7.80587750630727E-06,0.004495894761267,564,62,18,-0.000867006809131,649.429618358612
7,0.991508771129043,3.70677344259852E-06,0.001195084195064,966,43,28,-0.000883443563017,12386.37789464
7,0.994236747389874,7.35556094266227E-06,0.003431430286977,822,25,29,-0.000884080863988,12520.1116216183
15,0.998953008728859,9.12091818360835E-06,0.003113985920811,100,12,5,-0.000924904410953,3010.16880249977
13,0.998862240245552,2.75920941407797E-06,0.005795522660666,661,92,20,-0.00093666015585,4008.93803310394
5,0.990837078311955,6.17572056394301E-06,0.00478070964223,900,55,25,-0.000943354468116,19234.6812098026
5,0.991328585969074,9.50864456243679E-06,0.00581781947641,860,5,26,-0.000952776675633,19669.7341213226
6,0.998238281352128,8.66053523694041E-06,0.005968910595406,986,11,24,-0.000973678354367,8890.5358080864
5,0.992353881901563,2.37713214611484E-06,0.006179430984774,973,23,19,-0.000992725734742,19313.3891022205
5,0.991428375897399,5.2265590490183E-06,0.006443954999041,864,61,22,-0.001011248857187,16042.4085559845
20,0.998156531989253,3.07235692782152E-06,0.001950585916763,102,70,22,-0.001017793191989,1099.8644888401
5,0.99188230359909,4.5203891245423E-06,0.000388327799326,931,36,23,-0.001020517111388,19732.9956645966
5,0.998497378630375,5.97788615376094E-06,0.001903457074858,138,64,19,-0.001046407825015,4490.40732812882
5,0.991471819950345,6.02209973681203E-06,0.004691468252805,830,61,26,-0.001050555210083,17067.9269397259
19,0.998634099631111,9.92453366657854E-06,0.00575583296059,101,12,16,-0.001060611546563,3010.40414357185
5,0.998420709361376,4.99321622091849E-06,0.003605098278475,690,8,24,-0.001069633041551,7730.79892110825
8,0.99827649114372,1.77656254177598E-06,0.003041821999241,902,45,29,-0.001104600757601,7135.84844374657
10,0.99669715003131,8.3237254855764E-06,0.007421051470289,525,71,14,-0.001107635823818,1098.99507021904
6,0.998897752743344,8.58045082287017E-06,0.004242865609451,525,79,29,-0.001115782400443,6817.74756789207
5,0.9915678177038,8.28450333338527E-06,0.007949774761694,937,27,28,-0.001124318327344,19094.33259058
7,0.998829457636267,8.26143864640603E-06,0.006212297982318,669,17,28,-0.001171100578616,5585.45653891563
5,0.992102470702683,4.14791301447523E-06,0.000912758139977,918,57,26,-0.001180400738141,20265.4394578934
9,0.998966205084093,6.82996592039651E-06,0.002733451863492,390,92,18,-0.00118587842735,4490.42298364639
5,0.991752092404346,9.10333420557314E-06,0.007986446948064,937,34,18,-0.001196096088582,19234.6890602112
7,0.998888851771912,9.52925207666268E-06,0.007613325814004,730,34,28,-0.001202829599616,5699.79386329651
6,0.992435540315753,6.42611435848423E-06,0.002194167499262,887,29,29,-0.001214600863844,15203.8913595676
8,0.998982692924191,9.89214396213779E-06,0.002527383507442,839,22,19,-0.001240032460676,4777.78066086769
5,0.991804472838621,3.83944398148535E-06,0.001089284677134,935,55,15,-0.001268524881188,19155.6074643135
5,0.991636828284697,6.98143868888906E-06,0.005339555526401,847,31,25,-0.001279875078174,18718.3566484451
17,0.991240908078069,8.06678301495575E-06,0.00900652486763,948,84,21,-0.001310711551311,20120.9546198845
12,0.998862931421569,5.75473883929317E-06,0.00608340147125,606,87,20,-0.001330214417785,4777.84091567993
6,0.992389036172247,7.22899027135389E-06,0.002189743420072,901,7,12,-0.001360535196337,17042.5398540497
5,0.998993801412226,6.13865747676112E-06,0.005999370327065,740,9,20,-0.001376638757249,6996.36084246635
6,0.991259853798745,2.31235668574948E-06,0.003896464800606,868,15,29,-0.001471400215861,17554.0688650608
9,0.991664689381314,7.75723522760635E-06,0.008990141741153,924,13,16,-0.001475508899603,20265.7350585461
24,0.99212946185614,7.22984882883872E-06,0.004652203247853,912,49,12,-0.001497345686093,18825.8620359898
5,0.992116258301612,5.66635528316487E-06,0.004328976664751,840,9,24,-0.001500192351894,17209.8258900642
5,0.992385028581366,9.12187855383036E-06,0.005026820082864,938,21,21,-0.001501437130317,19733.0137727261
29,0.994572931752701,1.34781259711431E-06,0.003242484712202,247,50,5,-0.001502754137324,137.892603874207
6,0.994080410592082,4.90111531191531E-06,0.006931670664741,900,41,30,-0.001502754944076,13334.5278043747
6,0.99708788579859,1.30512805924286E-06,0.002688352756922,360,98,20,-0.001512650194529,5585.52519392967
6,0.991290606120781,7.28199916289496E-06,0.00604726693308,922,63,17,-0.001518326822406,18825.7317728996
7,0.993295988996323,6.66489480803591E-06,0.005733637620848,895,34,24,-0.001603492457628,12595.4408736229
6,0.992451437926197,2.42970371156155E-06,0.003378371625696,903,57,22,-0.001625108575804,17835.9125332832
14,0.998863964490064,9.5403588814866E-06,0.011728667736226,862,18,27,-0.001695647694547,3009.36572265625
6,0.990778192454078,4.05235877207404E-06,0.006242974255407,851,16,16,-0.001720737569485,15514.6606748104
5,0.998712127216849,7.55220166331762E-06,0.003275859243999,898,54,21,-0.001722228060795,9618.63283228874
5,0.992009634407003,4.04441618175185E-06,0.007267207522169,837,47,23,-0.00173165191786,16819.0016007423
5,0.998928401271155,7.941117561874E-06,0.006002869269263,901,16,28,-0.001744727136239,8397.33423662186
7,0.998998762659963,4.80670232992611E-06,0.003535632385895,879,58,20,-0.001749130305038,7628.28593683243
6,0.998753929498862,2.03026538624314E-06,0.00469608516242,500,82,29,-0.001855001968872,5321.22647809982
5,0.992667169968139,5.90857105798282E-06,0.009378900149962,880,61,22,-0.001860865491357,16678.9394910336
5,0.992446810130233,4.86652668511846E-06,0.00930054420518,857,36,26,-0.001870959652885,16736.82645154
6,0.992745949322546,7.71085785651168E-06,0.009747003337435,977,6,20,-0.001882367338495,16042.525894165
13,0.992096850552833,9.58412589485758E-06,0.006119967151712,935,13,25,-0.001917924761693,20438.6212551594
5,0.998592989095181,1.40205285662869E-06,0.007343821338822,600,65,29,-0.001940768938111,7683.12783956528
5,0.998714820433631,7.52053108910196E-06,0.00271682161123,851,98,29,-0.001950796002582,10329.0391125679
5,0.992264285387018,6.69147323347762E-06,0.008154273243203,935,40,9,-0.001951244499057,19616.3538784981
5,0.998292305871238,3.57082551384769E-06,0.00724171238521,986,88,23,-0.001952299722593,8924.41446304321
15,0.991735054682911,6.11520680166829E-06,0.01057212577641,918,58,24,-0.001959910089933,21218.3997733593
15,0.998539670527497,6.1856631579974E-06,0.001465176376027,693,11,10,-0.001960529146326,4008.98139429092
