Sequence size,Momentum,decay,Learning rate,Batch Size,Epochs,Neurons,Loss,elapsed_sec
5,0.998322434313722,7.64081987705119E-06,0.007409896603378,21,546,82,-2.85730252261343E-05,1436.36477589607
5,0.998049203720174,7.21476876292728E-06,0.019370276573221,8,706,36,-4.0932181719283E-05,664.044759750366
7,0.99843733591615,4.46466071566598E-06,0.003638479546646,14,1132,43,-5.37814917120671E-05,2605.79504919052
6,0.991193601991682,8.2537832610229E-06,0.019771922648926,29,204,84,-6.87361920669553E-05,2147.07685565948
6,0.994245851593873,6.75837569349318E-06,0.023533029751552,23,1117,93,-7.99865305402154E-05,3832.57920622826
5,0.996835863058016,1.17984754347119E-06,0.022925703591333,18,201,31,-0.000101209777942,891.264637947083
12,0.994997226885318,7.43379892280588E-06,0.013467436894548,19,1182,59,-0.000110058647747,6595.78909850121
8,0.994649940701323,2.73039693724316E-06,0.010516237897454,9,666,89,-0.000133546290526,1235.84707307816
5,0.993782849126942,2.18403260669335E-06,0.014564559217628,29,202,30,-0.000135110736345,1086.55994725227
13,0.998490080310508,3.54250169650379E-06,0.00934266190642,16,345,38,-0.000139760104064,1721.58031201363
9,0.998011066728238,9.99747367436324E-06,0.007288486326917,17,481,54,-0.000147084496942,1776.91531038284
7,0.996405287170085,2.62138134588482E-06,0.018371579995055,16,201,26,-0.000152193337075,1664.08481502533
7,0.99822404537007,4.74785980051991E-06,0.037254838419362,29,204,68,-0.000160784365497,2750.30906701088
5,0.992171633893842,8.33676645500189E-06,0.025080286471092,14,202,30,-0.000206850380302,949.936905384064
7,0.995976134598602,3.477273372821E-06,0.002876845904317,25,1168,62,-0.000223888910577,4857.14022421837
6,0.99650538718335,3.00410172516967E-06,0.004910600798943,28,200,79,-0.000231847133023,2105.99430537224
7,0.995401350771158,5.10277394006749E-06,0.018156972379132,17,363,45,-0.000232102007027,1035.30954909325
5,0.996205480961127,2.23247888155423E-06,0.005856096435076,12,205,52,-0.000248625613703,629.53694319725
6,0.998755728775657,2.44229315143518E-06,0.034273254889917,26,202,78,-0.000258297617529,2391.43926548958
25,0.998197497925715,6.21848994336419E-06,0.003131709427277,7,724,56,-0.000263681911939,3145.44327974319
24,0.997439252896599,8.1164220880257E-06,0.011816698866815,13,776,58,-0.000279397840878,5922.77749729157
5,0.993886086924016,3.85866632976904E-06,0.03969154447947,19,1139,40,-0.000302307333927,2496.27700138092
7,0.991786333076709,2.34476190298955E-06,0.004375022862631,28,250,82,-0.000310123292043,1244.51735854149
10,0.99294909742766,4.27135850778715E-06,0.012289701194294,17,343,75,-0.000323669748489,1472.37483882904
7,0.995906483165747,9.37912367742452E-06,0.008346447410386,5,723,59,-0.00032387331124,629.508723497391
7,0.99809082072973,3.43658789566557E-06,0.027896965731464,11,875,59,-0.00032961751196,1608.8245279789
5,0.994625513035103,4.38825534465818E-06,0.040594616432345,28,200,66,-0.000358729831259,2147.09309339523
15,0.992306727011188,6.29411662140033E-06,0.002427830961599,25,531,69,-0.00039144846879,5088.48395657539
15,0.990913028926452,2.33245221192551E-06,0.007667080153431,17,1105,29,-0.000393136438223,6740.45955967903
12,0.997036929320596,3.94152093428372E-06,0.020833103243276,13,963,81,-0.000399594082658,3848.86182165146
13,0.995343789817571,4.44226381475091E-06,0.030785080732757,27,1031,42,-0.000412205134173,8586.57287359238
